n_combination,best_combination,best_portfolio_weights,max_return,timestamp
33,"('MMC', 'MRK', 'LLY', 'MCK', 'ETN', 'TAP', 'IT', 'SNPS', 'CF', 'PH', 'CTAS', 'REGN', 'PHM', 'APA', 'MSI', 'FANG', 'HES', 'BSX', 'SLB', 'TDG', 'FSLR', 'COP', 'EOG', 'RCL', 'MPC', 'WMB', 'NOC', 'HII', 'BKR', 'AVGO', 'GL', 'PCAR', 'ORCL')","(0.005, 0.005000000000000172, 0.19999999999999965, 0.06000000000000105, 0.0050000000000001, 0.005, 0.005, 0.005, 0.00500000000000047, 0.005, 0.005, 0.005000000000000096, 0.005000000000000016, 0.00500000000000002, 0.005, 0.005, 0.19999999999999965, 0.00500000000000022, 0.19999999999999937, 0.005, 0.005000000000000512, 0.005, 0.005, 0.005, 0.2, 0.005000000000000005, 0.005000000000000031, 0.005000000000000041, 0.005, 0.005, 0.00500000000000001, 0.005000000000000031, 0.00500000000000006)",0.3915228527231731,2023-11-10 21:34:30.241424
47,"('CAH', 'URI', 'FICO', 'GE', 'WMB', 'LVS', 'HES', 'FSLR', 'ETN', 'PWR', 'PXD', 'OXY', 'MMC', 'KLAC', 'LLY', 'AJG', 'ORCL', 'IR', 'ORLY', 'LIN', 'WRB', 'TT', 'MPC', 'NUE', 'TAP', 'TMUS', 'STLD', 'HUBB', 'TJX', 'LW', 'NVDA', 'CI', 'EQT', 'EOG', 'SLB', 'MRK', 'AXON', 'GD', 'PCAR', 'PANW', 'BSX', 'CPRT', 'REGN', 'PCG', 'MCK', 'MRO', 'CBOE')","(0.005, 0.00500000000000108, 0.19999999999999785, 0.005, 0.005, 0.005, 0.005000000000000154, 0.005000000000000476, 0.005, 0.0050000000000002594, 0.005000000000000157, 0.19423997513415228, 0.005, 0.005, 0.19076002486584667, 0.005000000000000105, 0.005000000000000439, 0.005000000000000265, 0.005, 0.005000000000000027, 0.0050000000000005275, 0.005000000000000923, 0.19999999999999607, 0.00500000000000007, 0.0050000000000000825, 0.005000000000000585, 0.005, 0.0050000000000002985, 0.005000000000000435, 0.005000000000000249, 0.005, 0.005000000000000456, 0.005000000000000001, 0.005000000000000469, 0.005000000000000618, 0.005000000000000307, 0.005000000000000027, 0.005000000000000377, 0.005000000000000279, 0.005000000000000268, 0.005000000000000064, 0.005000000000000645, 0.005000000000000171, 0.0050000000000000695, 0.005000000000000041, 0.005, 0.005000000000000345)",0.4216032171310687,2023-11-10 21:50:16.873939
49,"('KLAC', 'PANW', 'FICO', 'BKNG', 'TRGP', 'EQT', 'ANET', 'PGR', 'APA', 'LLY', 'ORLY', 'PXD', 'HWM', 'WMB', 'FANG', 'PCAR', 'MAR', 'VLO', 'MCK', 'CBOE', 'CMG', 'TDG', 'GWW', 'PKG', 'CDNS', 'AXON', 'MSI', 'EG', 'AVGO', 'PHM', 'HES', 'MRO', 'SNA', 'VRTX', 'LW', 'BSX', 'AZO', 'NOC', 'OXY', 'IT', 'HAL', 'HUBB', 'STLD', 'COP', 'CAT', 'WAB', 'MPC', 'CVX', 'XOM')","(0.005000000000000001, 0.005000000000000422, 0.2, 0.005000000000000178, 0.005000000000000175, 0.005000000000000001, 0.005, 0.005, 0.005000000000000137, 0.18580975444818915, 0.005, 0.005, 0.005000000000000027, 0.005, 0.005, 0.005, 0.005000000000000034, 0.005, 0.005, 0.005, 0.005, 0.005000000000000142, 0.005, 0.005000000000000072, 0.005000000000000185, 0.005, 0.005000000000000157, 0.005, 0.005, 0.005, 0.00500000000000037, 0.005000000000000047, 0.005, 0.005, 0.005000000000000082, 0.005000000000000093, 0.005, 0.0050000000000000626, 0.18919024555181382, 0.005000000000000366, 0.005, 0.005, 0.005, 0.005, 0.0050000000000001415, 0.005000000000000167, 0.19999999999999923, 0.0050000000000001476, 0.0050000000000001345)",0.4216966237058657,2023-11-10 21:54:13.604561
18,"('LIN', 'LMT', 'PKG', 'VRTX', 'AJG', 'CBOE', 'ORCL', 'ACGL', 'MNST', 'PWR', 'CAH', 'LLY', 'NOC', 'FICO', 'GD', 'KLAC', 'XOM', 'CTAS')","(0.01, 0.010000000000000148, 0.010000000000000049, 0.04030313014109965, 0.01, 0.01, 0.01, 0.1999999999999999, 0.01, 0.010000000000000042, 0.19999999999999976, 0.2, 0.010000000000000026, 0.2, 0.010000000000000085, 0.010000000000000038, 0.03969686985890067, 0.01)",0.3927098174917535,2023-11-10 21:57:31.990486
40,"('CAH', 'COR', 'NVDA', 'HUBB', 'FSLR', 'GWW', 'NOC', 'SLB', 'TAP', 'CPRT', 'WRB', 'PCG', 'AXON', 'XOM', 'FICO', 'ROL', 'LLY', 'KLAC', 'OXY', 'IR', 'CTRA', 'CDNS', 'BKR', 'ORLY', 'PWR', 'PH', 'ORCL', 'LMT', 'IT', 'WMB', 'EOG', 'DHI', 'COP', 'MSI', 'URI', 'HII', 'LVS', 'CAT', 'HAL', 'HWM')","(0.025000000000000827, 0.005000000000000359, 0.2, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005000000000000056, 0.005000000000000132, 0.005, 0.005, 0.005, 0.2, 0.005, 0.2, 0.005, 0.2, 0.005, 0.005000000000000003, 0.005, 0.005, 0.005000000000000004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005)",0.4127787180341552,2023-11-10 22:09:03.815903
30,"('ANET', 'BKNG', 'IRM', 'EG', 'AVGO', 'HUBB', 'FANG', 'COP', 'PANW', 'ACGL', 'CVX', 'BSX', 'HWM', 'RCL', 'LIN', 'PH', 'SLB', 'OXY', 'FICO', 'MRK', 'STLD', 'MPC', 'TT', 'CF', 'CMG', 'LLY', 'CTAS', 'MSI', 'HII', 'CPRT')","(0.01, 0.010000000000000096, 0.01000000000000048, 0.010000000000000078, 0.01, 0.010000000000000333, 0.010000000000000278, 0.010000000000000175, 0.01, 0.010000000000000264, 0.01000000000000025, 0.010000000000000018, 0.010000000000000897, 0.01, 0.01, 0.01, 0.010000000000000026, 0.17047405912976654, 0.19999999999999948, 0.01, 0.01000000000000029, 0.19999999999999954, 0.01, 0.010000000000000073, 0.01, 0.16952594087023237, 0.010000000000000269, 0.01, 0.010000000000000281, 0.010000000000000163)",0.4065267372821121,2023-11-10 22:30:31.051659
24,"('MCK', 'CMG', 'LDOS', 'TT', 'PTC', 'CVX', 'HII', 'LMT', 'BKR', 'HAL', 'CBOE', 'TJX', 'DHI', 'EOG', 'EQT', 'FICO', 'AXON', 'VRTX', 'OXY', 'KLAC', 'PWR', 'MPC', 'LLY', 'MRO')","(0.01, 0.010000000000000666, 0.01, 0.01000000000000002, 0.010000000000000064, 0.01, 0.01000000000000004, 0.010000000000000134, 0.010000000000000137, 0.01, 0.01, 0.010000000000000083, 0.01, 0.01, 0.009999999999999995, 0.2, 0.01, 0.01, 0.2, 0.010000000000000136, 0.01, 0.2, 0.2, 0.01)",0.423619745868746,2023-11-10 22:57:29.304994
36,"('CPRT', 'PGR', 'BKR', 'EQT', 'AXON', 'BKNG', 'VRTX', 'WMB', 'MAR', 'PH', 'COP', 'OXY', 'ORCL', 'CAT', 'CTRA', 'TT', 'MRK', 'REGN', 'AVGO', 'CF', 'LVS', 'FANG', 'FICO', 'IT', 'HES', 'PANW', 'SNPS', 'NUE', 'CTAS', 'NVDA', 'MPC', 'PCAR', 'MRO', 'TAP', 'HWM', 'CVX')","(0.005000000000000282, 0.00500000000000033, 0.0050000000000000756, 0.19999999999999965, 0.0050000000000003375, 0.005000000000000147, 0.005000000000000237, 0.005000000000000107, 0.0050000000000000894, 0.005000000000000147, 0.005, 0.2, 0.005, 0.005000000000000196, 0.005000000000000211, 0.005000000000000327, 0.005000000000000134, 0.005000000000000305, 0.005000000000000119, 0.005000000000000276, 0.005, 0.005, 0.19999999999999873, 0.005000000000000076, 0.024315466873679623, 0.0050000000000000955, 0.005, 0.00500000000000014, 0.0050000000000002725, 0.025684533126318576, 0.19999999999999904, 0.0050000000000000235, 0.00500000000000029, 0.005000000000000247, 0.005000000000000171, 0.005000000000000144)",0.4277186401278335,2023-11-10 23:03:53.638600
13,"('MPC', 'PTC', 'LLY', 'PANW', 'CAH', 'KLAC', 'ORLY', 'HUBB', 'AVGO', 'DHI', 'PWR', 'FSLR', 'LIN')","(0.29999999999999943, 0.010000000000000207, 0.29999999999999916, 0.01000000000000052, 0.2999999999999995, 0.0100000000000003, 0.010000000000000167, 0.010000000000000038, 0.010000000000000293, 0.010000000000000274, 0.010000000000000417, 0.009999999999999995, 0.010000000000000009)",0.4214693059503277,2023-11-11 11:32:43.773373
20,"('ACGL', 'TRGP', 'FICO', 'AVGO', 'MRK', 'AJG', 'KLAC', 'TJX', 'BKNG', 'FANG', 'MAR', 'WRB', 'LMT', 'HII', 'LLY', 'MPC', 'CMG', 'TMUS', 'CF', 'ORCL')","(0.01000000000000056, 0.01, 0.2999999999999994, 0.010000000000000384, 0.01, 0.01, 0.01, 0.010000000000000354, 0.01, 0.01, 0.010000000000000231, 0.010000000000000083, 0.01, 0.010000000000000134, 0.2300000000000008, 0.2999999999999992, 0.010000000000000031, 0.010000000000000186, 0.010000000000000165, 0.010000000000000188)",0.4317211088092706,2023-11-11 11:33:32.080552
