n_combination,best_combination,best_portfolio_weights,max_sharpe_ratio,timestamp
14,"('COP', 'PXD', 'CBOE', 'MCK', 'AMGN', 'LLY', 'EPAM', 'GIS', 'TRV', 'TAP', 'HUM', 'SLB', 'ED', 'LDOS')","(0.2, 0.010000000000000033, 0.10999999999999893, 0.19999999999999987, 0.010000000000000358, 0.19999999999999982, 0.010000000000000566, 0.010000000000000118, 0.010000000000000312, 0.01, 0.010000000000000099, 0.19999999999999984, 0.01000000000000015, 0.010000000000000274)",1.7928277262861607,2023-11-10 21:10:32.536743
33,"('MMC', 'MRK', 'LLY', 'MCK', 'ETN', 'TAP', 'IT', 'SNPS', 'CF', 'PH', 'CTAS', 'REGN', 'PHM', 'APA', 'MSI', 'FANG', 'HES', 'BSX', 'SLB', 'TDG', 'FSLR', 'COP', 'EOG', 'RCL', 'MPC', 'WMB', 'NOC', 'HII', 'BKR', 'AVGO', 'GL', 'PCAR', 'ORCL')","(0.005, 0.005000000000000172, 0.19999999999999965, 0.06000000000000105, 0.0050000000000001, 0.005, 0.005, 0.005, 0.00500000000000047, 0.005, 0.005, 0.005000000000000096, 0.005000000000000016, 0.00500000000000002, 0.005, 0.005, 0.19999999999999965, 0.00500000000000022, 0.19999999999999937, 0.005, 0.005000000000000512, 0.005, 0.005, 0.005, 0.2, 0.005000000000000005, 0.005000000000000031, 0.005000000000000041, 0.005, 0.005, 0.00500000000000001, 0.005000000000000031, 0.00500000000000006)",2.051946645613678,2023-11-10 21:34:30.241424
47,"('CAH', 'URI', 'FICO', 'GE', 'WMB', 'LVS', 'HES', 'FSLR', 'ETN', 'PWR', 'PXD', 'OXY', 'MMC', 'KLAC', 'LLY', 'AJG', 'ORCL', 'IR', 'ORLY', 'LIN', 'WRB', 'TT', 'MPC', 'NUE', 'TAP', 'TMUS', 'STLD', 'HUBB', 'TJX', 'LW', 'NVDA', 'CI', 'EQT', 'EOG', 'SLB', 'MRK', 'AXON', 'GD', 'PCAR', 'PANW', 'BSX', 'CPRT', 'REGN', 'PCG', 'MCK', 'MRO', 'CBOE')","(0.005, 0.00500000000000108, 0.19999999999999785, 0.005, 0.005, 0.005, 0.005000000000000154, 0.005000000000000476, 0.005, 0.0050000000000002594, 0.005000000000000157, 0.19423997513415228, 0.005, 0.005, 0.19076002486584667, 0.005000000000000105, 0.005000000000000439, 0.005000000000000265, 0.005, 0.005000000000000027, 0.0050000000000005275, 0.005000000000000923, 0.19999999999999607, 0.00500000000000007, 0.0050000000000000825, 0.005000000000000585, 0.005, 0.0050000000000002985, 0.005000000000000435, 0.005000000000000249, 0.005, 0.005000000000000456, 0.005000000000000001, 0.005000000000000469, 0.005000000000000618, 0.005000000000000307, 0.005000000000000027, 0.005000000000000377, 0.005000000000000279, 0.005000000000000268, 0.005000000000000064, 0.005000000000000645, 0.005000000000000171, 0.0050000000000000695, 0.005000000000000041, 0.005, 0.005000000000000345)",2.2395876643785866,2023-11-10 21:50:16.873939
49,"('KLAC', 'PANW', 'FICO', 'BKNG', 'TRGP', 'EQT', 'ANET', 'PGR', 'APA', 'LLY', 'ORLY', 'PXD', 'HWM', 'WMB', 'FANG', 'PCAR', 'MAR', 'VLO', 'MCK', 'CBOE', 'CMG', 'TDG', 'GWW', 'PKG', 'CDNS', 'AXON', 'MSI', 'EG', 'AVGO', 'PHM', 'HES', 'MRO', 'SNA', 'VRTX', 'LW', 'BSX', 'AZO', 'NOC', 'OXY', 'IT', 'HAL', 'HUBB', 'STLD', 'COP', 'CAT', 'WAB', 'MPC', 'CVX', 'XOM')","(0.005000000000000001, 0.005000000000000422, 0.2, 0.005000000000000178, 0.005000000000000175, 0.005000000000000001, 0.005, 0.005, 0.005000000000000137, 0.18580975444818915, 0.005, 0.005, 0.005000000000000027, 0.005, 0.005, 0.005, 0.005000000000000034, 0.005, 0.005, 0.005, 0.005, 0.005000000000000142, 0.005, 0.005000000000000072, 0.005000000000000185, 0.005, 0.005000000000000157, 0.005, 0.005, 0.005, 0.00500000000000037, 0.005000000000000047, 0.005, 0.005, 0.005000000000000082, 0.005000000000000093, 0.005, 0.0050000000000000626, 0.18919024555181382, 0.005000000000000366, 0.005, 0.005, 0.005, 0.005, 0.0050000000000001415, 0.005000000000000167, 0.19999999999999923, 0.0050000000000001476, 0.0050000000000001345)",2.172822461343992,2023-11-10 21:54:13.604561
9,"('AVGO', 'OXY', 'LLY', 'LMT', 'PGR', 'ORCL', 'LW', 'AZO', 'COP')","(0.010000000000000002, 0.2, 0.1999999999999999, 0.01, 0.19999999999999982, 0.01, 0.1600000000000003, 0.010000000000000028, 0.2)",1.801436635746548,2023-11-10 21:56:30.534841
18,"('LIN', 'LMT', 'PKG', 'VRTX', 'AJG', 'CBOE', 'ORCL', 'ACGL', 'MNST', 'PWR', 'CAH', 'LLY', 'NOC', 'FICO', 'GD', 'KLAC', 'XOM', 'CTAS')","(0.01, 0.010000000000000148, 0.010000000000000049, 0.04030313014109965, 0.01, 0.01, 0.01, 0.1999999999999999, 0.01, 0.010000000000000042, 0.19999999999999976, 0.2, 0.010000000000000026, 0.2, 0.010000000000000085, 0.010000000000000038, 0.03969686985890067, 0.01)",2.18668723571412,2023-11-10 21:57:31.990486
34,"('TT', 'COP', 'CTRA', 'AMGN', 'TMUS', 'AZO', 'CVX', 'SNA', 'NVDA', 'LDOS', 'KLAC', 'PH', 'IT', 'MSI', 'CAH', 'OXY', 'PTC', 'CMG', 'PANW', 'HAL', 'LIN', 'PSX', 'FANG', 'IRM', 'ORLY', 'XOM', 'LLY', 'ETN', 'TDG', 'STLD', 'LMT', 'BKNG', 'ACGL', 'FSLR')","(0.005000000000000309, 0.005000000000000444, 0.005000000000001489, 0.005000000000000415, 0.00500000000000022, 0.005000000000000375, 0.005000000000000128, 0.005000000000000338, 0.19999999999999835, 0.005000000000000285, 0.005, 0.005000000000000139, 0.005000000000000008, 0.005000000000000225, 0.1999999999999987, 0.19999999999999815, 0.005000000000000252, 0.005000000000000448, 0.005000000000000241, 0.005000000000000189, 0.005000000000000395, 0.005000000000000221, 0.005000000000000592, 0.005000000000000402, 0.005000000000000444, 0.005, 0.19999999999999832, 0.005000000000000322, 0.005000000000000276, 0.05499999999999884, 0.005000000000000156, 0.005000000000000269, 0.005000000000000034, 0.005)",2.063311534337756,2023-11-10 22:03:20.324209
16,"('AVGO', 'NUE', 'CBOE', 'AZO', 'HES', 'ACGL', 'VRTX', 'PCAR', 'HUBB', 'LLY', 'HAL', 'MPC', 'AXON', 'IRM', 'PCG', 'ETN')","(0.010000000000000356, 0.01, 0.01, 0.010000000000000056, 0.19999999999999987, 0.19999999999999996, 0.010000000000000035, 0.010000000000000255, 0.01000000000000006, 0.19999999999999998, 0.09000000000000023, 0.2, 0.01, 0.01, 0.01, 0.010000000000000077)",2.0489103644210944,2023-11-10 22:26:52.576911
29,"('AJG', 'CBOE', 'SNPS', 'WAB', 'MSI', 'NVDA', 'GE', 'MRO', 'ROL', 'BKR', 'CF', 'GWW', 'PCG', 'PGR', 'IT', 'COR', 'PSX', 'TRGP', 'CPRT', 'CAH', 'HUBB', 'PWR', 'LLY', 'TDG', 'PKG', 'TT', 'MPC', 'IRM', 'MRK')","(0.010000000000000044, 0.01, 0.01, 0.01000000000000016, 0.01, 0.2, 0.01, 0.01, 0.01, 0.010000000000000082, 0.01, 0.01, 0.01, 0.010000000000000078, 0.01, 0.01, 0.010000000000000297, 0.01, 0.010000000000000106, 0.1500000000000006, 0.01, 0.01000000000000013, 0.19999999999999973, 0.01, 0.01000000000000012, 0.01, 0.2, 0.01, 0.01)",2.03199148147314,2023-11-10 22:30:05.826103
30,"('ANET', 'BKNG', 'IRM', 'EG', 'AVGO', 'HUBB', 'FANG', 'COP', 'PANW', 'ACGL', 'CVX', 'BSX', 'HWM', 'RCL', 'LIN', 'PH', 'SLB', 'OXY', 'FICO', 'MRK', 'STLD', 'MPC', 'TT', 'CF', 'CMG', 'LLY', 'CTAS', 'MSI', 'HII', 'CPRT')","(0.01, 0.010000000000000096, 0.01000000000000048, 0.010000000000000078, 0.01, 0.010000000000000333, 0.010000000000000278, 0.010000000000000175, 0.01, 0.010000000000000264, 0.01000000000000025, 0.010000000000000018, 0.010000000000000897, 0.01, 0.01, 0.01, 0.010000000000000026, 0.17047405912976654, 0.19999999999999948, 0.01, 0.01000000000000029, 0.19999999999999954, 0.01, 0.010000000000000073, 0.01, 0.16952594087023237, 0.010000000000000269, 0.01, 0.010000000000000281, 0.010000000000000163)",2.011951546848171,2023-11-10 22:30:31.051659
