n_combination,best_combination,best_portfolio_weights,min_volatility,timestamp
12,"('DVA', 'CVX', 'TRV', 'HRL', 'CME', 'MOH', 'BMY', 'EG', 'PANW', 'K', 'ROL', 'MCK')","(0.05066457478461831, 0.0689293301351342, 0.05279055060510131, 0.10306525892351677, 0.1678679848994364, 0.019395242179875052, 0.2121472146208318, 0.01677158909083064, 0.021235941325541432, 0.19324339983159633, 0.03412746988714207, 0.05976144371637554)",0.1273243890683523,2023-11-10 16:57:21.389161
24,"('BKR', 'PXD', 'KHC', 'DVA', 'BG', 'VZ', 'COR', 'LDOS', 'EA', 'LMT', 'LLY', 'TRV', 'PSX', 'TSN', 'HSY', 'CVX', 'DG', 'WMT', 'AIZ', 'ORLY', 'CBOE', 'LW', 'JNJ', 'CVS')","(0.01, 0.01, 0.064255873353306, 0.04043210350270547, 0.01, 0.06029741248628984, 0.01, 0.01, 0.10458716902843389, 0.07211767057994999, 0.01, 0.016366494893158716, 0.01, 0.029908130924447447, 0.0538927350252375, 0.010000000000000004, 0.010000000000000009, 0.0680472001760807, 0.02536393096841224, 0.02241696875123487, 0.11179324896451683, 0.013074100222745503, 0.217446961123481, 0.01)",0.1204525114948018,2023-11-10 17:01:06.253012
6,"('INCY', 'HRL', 'JNJ', 'EOG', 'HSY', 'MCK')","(0.1431102929649331, 0.16051561026548603, 0.3631550020106449, 0.061210562931857275, 0.1520322366897433, 0.1199762951373354)",0.1345913491168115,2023-11-10 17:12:30.589965
23,"('CAH', 'ELV', 'CHD', 'TSN', 'VLO', 'MRK', 'K', 'FANG', 'ED', 'COP', 'PXD', 'DLTR', 'ROL', 'D', 'EA', 'MPC', 'MKTX', 'CAG', 'CME', 'LDOS', 'AIZ', 'INCY', 'AMGN')","(0.01, 0.010000000000000009, 0.042431153935722915, 0.04368033459051858, 0.013408294629588952, 0.1423762376697067, 0.16951766528961792, 0.010000000000000014, 0.01816777416096375, 0.01, 0.010000000000000002, 0.01, 0.01984388037392266, 0.010000000000000009, 0.11589342287918547, 0.010000000000000007, 0.01, 0.01, 0.11896507413620573, 0.01, 0.03838308712076783, 0.08453760719216866, 0.08279546802163087)",0.124105540755537,2023-11-10 17:13:30.590315
38,"('WMT', 'SEDG', 'TAP', 'CL', 'PXD', 'PSX', 'NEM', 'HUM', 'LDOS', 'COR', 'VZ', 'HRL', 'ROL', 'CAH', 'K', 'CNC', 'PFE', 'LHX', 'HSY', 'CME', 'GIS', 'UNH', 'CPB', 'OXY', 'EA', 'MKTX', 'TSN', 'KMB', 'ABBV', 'CAG', 'FANG', 'CBOE', 'LVS', 'KHC', 'MO', 'LMT', 'MCK', 'ED')","(0.05477245096495155, 0.010000000000000024, 0.01, 0.01, 0.01, 0.010000000000000018, 0.010000000000000004, 0.01, 0.010000000000000005, 0.01, 0.05245828129198562, 0.055636365569814376, 0.010000000000000057, 0.010000000000000009, 0.06281899258217279, 0.01, 0.011596372601165899, 0.01000000000000002, 0.01, 0.04062098396711196, 0.01, 0.01000000000000001, 0.010000000000000012, 0.010000000000000014, 0.0818783690953228, 0.01, 0.010572353056571131, 0.07479218477721732, 0.08420487403620397, 0.01, 0.010000000000000005, 0.09770181994828883, 0.010000000000000002, 0.01, 0.058144822756255585, 0.04478982109068136, 0.03001230826225668, 0.01)",0.1212735713227605,2023-11-10 17:55:35.632436
5,"('HRL', 'JNJ', 'MPC', 'LVS', 'K')","(0.15201459747451163, 0.44840347703176786, 0.08783030882153371, 0.07242349837342264, 0.23932811829876424)",0.1351905520769713,2023-11-10 18:03:15.899215
11,"('JNJ', 'MKC', 'MO', 'CBOE', 'AIZ', 'ED', 'GIS', 'BKR', 'HUM', 'AMGN', 'COP')","(0.2567335238240427, 0.01, 0.12184750003712967, 0.17661994839746395, 0.06854789630873247, 0.04208389151267139, 0.1497513124325617, 0.0332146101876443, 0.04596103948983267, 0.08066568233192285, 0.014574595477998342)",0.1269747143284962,2023-11-10 18:15:14.380054
27,"('ORLY', 'WMT', 'SEDG', 'CAH', 'GEN', 'BAX', 'NEM', 'ABBV', 'EA', 'TTWO', 'SJM', 'PSX', 'COP', 'CBOE', 'AIZ', 'MKTX', 'MRK', 'DLTR', 'VLO', 'K', 'HUM', 'ROL', 'REGN', 'JNJ', 'DPZ', 'CAG', 'SLB')","(0.01000899661747516, 0.07023483059800924, 0.010000000000000005, 0.01, 0.01, 0.01, 0.02582821841758803, 0.049203410664406186, 0.09471959097387016, 0.010000000000000002, 0.05613295258728356, 0.014861632586840192, 0.01, 0.09782362134630224, 0.03549703118398168, 0.010000000000000005, 0.055810109689653886, 0.010000000000000018, 0.010000000000000007, 0.13207117086399348, 0.02969856277057782, 0.01, 0.010000000000000005, 0.18213733570300178, 0.015972535997016694, 0.01, 0.010000000000000009)",0.1209901715063117,2023-11-10 18:16:25.410848
8,"('HRL', 'FSLR', 'JNJ', 'DLTR', 'VZ', 'KMB', 'CHRW', 'CME')","(0.1333059679019149, 0.02645066582649982, 0.31339970749167634, 0.012950018755064843, 0.10629458576842886, 0.1688113778716294, 0.07239718672142326, 0.16639048966336256)",0.1290373473914542,2023-11-10 18:57:32.722356
31,"('PGR', 'EA', 'CVX', 'EOG', 'MPC', 'HSY', 'TAP', 'BG', 'CI', 'ROL', 'ORLY', 'K', 'EPAM', 'CNC', 'COP', 'UNH', 'BMY', 'FANG', 'ED', 'ELV', 'DVA', 'CL', 'LVS', 'LMT', 'VZ', 'GIS', 'CHRW', 'NEM', 'JNJ', 'HUM', 'LW')","(0.005000000000000012, 0.10795147822438445, 0.005, 0.005000000000000019, 0.005, 0.005, 0.0050000000000000044, 0.017567825533625014, 0.005, 0.005000000000000002, 0.04083737002219901, 0.10935044378882448, 0.005000000000000001, 0.0050000000000000175, 0.005000000000000002, 0.005000000000000005, 0.11473249162302589, 0.0050000000000000175, 0.005, 0.005000000000000015, 0.04102099694851085, 0.02210294924527034, 0.018127030261712914, 0.07614375548247786, 0.04819419929787013, 0.03764349463459462, 0.03774885041930793, 0.022716098260985872, 0.19680470650823972, 0.01574946375163615, 0.01830884599733491)",0.1202126606242933,2023-11-10 18:59:30.120773
